#OTU ID	F3D0	F3D141	F3D142	F3D143	F3D144	F3D145	F3D146	F3D147	F3D148	F3D149	F3D150	F3D1	F3D2	F3D3	F3D5	F3D6	F3D7	F3D8	F3D9	Mock
Otu36	5	8	0	1	1	1	10	9	15	33	15	70	54	8	46	23	6	16	29	0
Otu188	10	5	2	1	2	5	5	60	14	22	3	11	15	1	7	35	1	6	11	0
Otu143	4	0	1	0	0	0	0	0	0	0	0	10	4	0	1	2	0	9	5	0
Otu77	20	21	5	6	6	5	22	28	15	11	12	5	37	2	4	23	4	15	21	0
Otu215	12	0	2	2	4	1	4	0	1	3	1	7	2	0	2	5	0	3	4	0
Otu107	8	0	0	1	1	2	0	0	5	1	1	7	12	1	2	5	1	5	6	2
Otu64	24	16	0	4	1	6	5	13	17	14	3	3	34	18	11	8	17	8	16	1
Otu63	4	2	0	0	1	2	1	5	1	1	1	2	4	1	4	4	2	3	2	168
Otu65	2	29	4	9	6	4	9	24	20	72	46	3	1	0	0	1	0	0	1	0
Otu186	3	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0
Otu202	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0
Otu117	3	0	0	0	0	0	2	0	2	0	0	3	19	0	1	3	2	1	10	0
Otu108	18	1	0	0	2	0	0	6	3	3	2	6	6	0	2	1	5	3	5	0
Otu159	1	0	0	0	1	2	0	0	2	1	0	3	2	0	1	1	0	0	1	0
Otu179	3	0	0	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0	0
Otu90	2	1	0	0	0	0	1	0	0	1	0	8	24	5	9	29	6	11	7	0
Otu121	6	2	2	0	1	0	1	3	8	3	3	0	3	6	1	1	1	3	1	0
Otu55	8	20	2	13	4	5	14	40	30	62	20	21	71	3	6	7	7	10	16	0
Otu85	7	0	5	1	2	6	15	9	15	20	20	15	45	2	10	11	4	12	15	0
Otu158	2	1	0	1	3	0	0	1	0	2	1	4	2	0	0	0	0	0	1	0
Otu168	3	45	2	22	3	2	10	16	17	77	42	5	3	0	1	1	0	1	0	0
Otu136	5	0	0	0	0	2	0	0	1	0	0	6	3	6	0	3	1	2	1	0
Otu87	4	0	0	0	0	0	0	0	3	0	0	8	29	2	0	21	8	26	18	0
Otu110	5	1	1	1	2	0	1	7	5	5	2	3	8	0	1	4	0	3	8	0
Otu137	3	1	0	0	0	0	4	0	0	5	1	1	3	0	2	9	0	0	1	0
